type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
3,9456.63,260536.6,251079.96,410295.89,419752.53,0
0,14911.15,175101.5,160190.34,196133.52,211044.67,0
3,17449.47,338736.71,321287.24,223775.93,241225.4,0
3,8729.74,379250.94,370521.2,365000.86,373730.6,0
0,968.87,7314.13,6345.26,178877.38,179846.25,0
0,3317.28,103621.15,100303.87,31950.47,35267.75,0
3,515.14,356617.93,356102.8,37167.3,37682.44,0
1,13099.93,193310.09,180210.15,57681.4,70781.33,0
3,6713.06,331241.97,324528.91,434840.66,441553.72,0
3,10895.32,173481.33,162586.01,236113.21,247008.54,0
3,9916.21,195377.58,185461.37,356441.18,366357.39,1
3,1722.38,79339.44,77617.06,196454.67,198177.04,0
0,8124.9,129115.51,120990.61,129355.47,137480.37,0
3,4489.17,302705.88,298216.71,173596.08,178085.25,0
1,8426.16,216581.56,208155.4,397091.17,405517.33,0
0,4151.21,387151.34,383000.13,312608.06,316759.27,0
1,16825.0,426292.48,409467.47,468819.89,485644.89,0
1,3566.45,270823.21,267256.76,339852.39,343418.84,0
1,19219.53,379133.65,359914.11,285090.82,304310.35,0
1,8376.56,153452.26,145075.7,305098.0,313474.56,0
0,16940.28,207485.61,190545.33,471185.72,488126.0,0
0,12612.42,356388.84,343776.42,394100.46,406712.88,0
1,14733.47,193106.0,178372.53,12020.62,26754.09,0
1,15377.71,294252.47,278874.76,267069.85,282447.55,0
0,10146.41,92686.39,82539.98,344169.21,354315.62,0
0,10911.68,299885.66,288973.98,374349.24,385260.92,0
0,10328.52,430756.85,420428.34,106571.06,116899.58,0
3,11802.36,434319.82,422517.46,433588.68,445391.04,0
3,684.95,362172.2,361487.25,477921.57,478606.52,0
3,7970.75,372876.69,364905.94,118357.65,126328.4,1
1,12163.16,278963.72,266800.57,441307.73,453470.88,0
3,11994.7,292334.05,280339.35,48489.38,60484.08,0
1,15879.83,66825.29,50945.46,27853.42,43733.24,0
1,13134.69,221929.59,208794.91,64611.9,77746.59,0
3,19843.45,225388.14,205544.69,28870.54,48713.99,0
1,5748.71,479248.92,473500.21,422506.12,428254.82,0
3,7247.11,215543.43,208296.33,29525.07,36772.18,0
3,7738.56,274671.32,266932.76,135832.1,143570.65,0
0,9369.67,266625.7,257256.02,51878.17,61247.85,0
